[ 2025-06-18 11:27:00,107 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-18 11:27:12,179 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-18 11:27:12,179 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-18 11:27:12,191 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-18 11:27:12,263 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-18 11:27:12,263 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-18 11:27:12,290 ] 24 root - INFO - Initiate the data Validation
[ 2025-06-18 11:27:12,354 ] 32 root - INFO - Required number of columns:2
[ 2025-06-18 11:27:12,355 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-18 11:27:12,355 ] 32 root - INFO - Required number of columns:2
[ 2025-06-18 11:27:12,355 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-18 11:27:12,520 ] 26 root - INFO - data Validation Completed
[ 2025-06-18 11:27:12,520 ] 29 root - INFO - data Transformation started
[ 2025-06-18 11:27:12,520 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-18 11:27:12,520 ] 65 root - INFO - Starting data transformation
[ 2025-06-18 11:27:12,543 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-18 11:27:12,544 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-18 11:27:12,555 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:27:12,559 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:27:12,559 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:27:12,561 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:27:12,563 ] 33 root - INFO - data Transformation completed
[ 2025-06-18 11:27:12,563 ] 34 root - INFO - Model Training sstared
