[ 2025-06-18 11:32:21,534 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-18 11:32:25,764 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-18 11:32:25,764 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-18 11:32:25,764 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-18 11:32:25,835 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-18 11:32:25,836 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-18 11:32:25,845 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-18 11:32:25,896 ] 32 root - INFO - Required number of columns:2
[ 2025-06-18 11:32:25,897 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-18 11:32:25,897 ] 32 root - INFO - Required number of columns:2
[ 2025-06-18 11:32:25,897 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-18 11:32:26,053 ] 27 root - INFO - data Validation Completed
[ 2025-06-18 11:32:26,053 ] 30 root - INFO - data Transformation started
[ 2025-06-18 11:32:26,053 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-18 11:32:26,053 ] 65 root - INFO - Starting data transformation
[ 2025-06-18 11:32:26,073 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-18 11:32:26,073 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-18 11:32:26,084 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:32:26,086 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:32:26,086 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:32:26,088 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:32:26,090 ] 34 root - INFO - data Transformation completed
[ 2025-06-18 11:32:26,090 ] 35 root - INFO - Model Training sstared
