[ 2025-06-12 10:01:23,518 ] 17 root - INFO - Initiate the data ingestion
[ 2025-06-12 10:01:35,548 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-12 10:01:35,548 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-12 10:01:35,549 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-12 10:01:35,610 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-12 10:01:35,610 ] 19 root - INFO - Data Initiation Completed
[ 2025-06-12 10:01:35,628 ] 23 root - INFO - Initiate the data Validation
[ 2025-06-12 10:01:35,672 ] 32 root - INFO - Required number of columns:2
[ 2025-06-12 10:01:35,672 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-12 10:01:35,674 ] 32 root - INFO - Required number of columns:2
[ 2025-06-12 10:01:35,674 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-12 10:01:35,824 ] 25 root - INFO - data Validation Completed
