[ 2025-06-18 11:27:52,571 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-18 11:27:55,789 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-18 11:27:55,790 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-18 11:27:55,790 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-18 11:27:55,852 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-18 11:27:55,852 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-18 11:27:55,861 ] 24 root - INFO - Initiate the data Validation
[ 2025-06-18 11:27:55,904 ] 32 root - INFO - Required number of columns:2
[ 2025-06-18 11:27:55,904 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-18 11:27:55,905 ] 32 root - INFO - Required number of columns:2
[ 2025-06-18 11:27:55,905 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-18 11:27:56,048 ] 26 root - INFO - data Validation Completed
[ 2025-06-18 11:27:56,049 ] 29 root - INFO - data Transformation started
[ 2025-06-18 11:27:56,049 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-18 11:27:56,049 ] 65 root - INFO - Starting data transformation
[ 2025-06-18 11:27:56,067 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-18 11:27:56,067 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-18 11:27:56,077 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:27:56,079 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:27:56,079 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-18 11:27:56,083 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:27:56,084 ] 33 root - INFO - data Transformation completed
[ 2025-06-18 11:27:56,084 ] 34 root - INFO - Model Training sstared
